ID,Name,Exercise type,BodyPart,Equipment,Gender,Target,Synergist,Type,Regions,category
3645,Single Leg Bridge with Outstretched Leg,Stretching,Hips,Body weight,Male,,,,,strength
3652,Trap Bar Split Stance RDL,Strength,Hips,Body weight,Male,,,,,strength
3654,Barbell Lying Row on Rack,Strength,Back,Barbells,Male,"Infraspinatus, Latissimus Dorsi, Teres Major, Teres Minor , Trapezius Lower Fibers, Trapezius Middle Fibers","Brachialis, Brachioradialis, Deltoid Posterior",,,strength
3655,Walking High Knees Lunge,Aerobic,Plyometrics,Body weight,Male,,,,,strength
3662,Pike to Cobra Push-up,Stretching,"Chest, Hips",Body weight,Male,,,,,strength
3663,Reverse Plank with Leg Lift,Stretching,Hips,Body weight,Male,,,,,strength
3664,Dumbbell Side Plank with Rear Fly,Strength,Waist,Dumbbells,Male,,,,,strength
3665,Power Point Plank,Strength,Waist,Body weight,Male,,,,,strength
3666,Walking on Incline Treadmill,Aerobic,Cardio,Hammerstrength Machine,Male,,,,,cardio
3667,Side Lying Hip Adduction,Strength,Hips,Body weight,Male,"Adductor Brevis, Adductor Longus, Adductor Magnus, Gracilis, Pectineous",Sartorius,,,strength
3668,Dumbbell Lying on Floor Chest Press,Strength,Chest,Dumbbells,Male,"Pectoralis Major Clavicular Head, Pectoralis Major Sternal Head","Deltoid Anterior, Triceps Brachii",,,strength
3670,Weighted Decline Sit-up,Strength,Waist,Body weight,Male,,,,,strength
3675,Side-to-Side Jump Rope,Aerobic,Cardio,Battle Ropes,Male,,,,,cardio
3678,High Jump Rope,Aerobic,Cardio,Body weight,Male,,,,,cardio
3679,Sit-up with Arms on Chest,Strength,Waist,Body weight,Male,,,,,strength
3681,Dumbbell Squeeze Bench Press,Strength,Chest,Dumbbells/Flat Bench,Male,"Pectoralis Major Clavicular Head, Pectoralis Major Sternal Head, Triceps Brachii",Deltoid Anterior,,,strength
3682,Dumbbell Incline Alternate Bicep Curl,Strength,Upper Arms,Dumbbells,Male,"Biceps Brachii, Brachialis",Brachioradialis,,,strength
3683,Dumbbell Gobelt Curtsey Lunge,Strength,Thighs,Dumbbells,Male,,,,,strength
3684,Dumbbell External Rotation,Strength,Back,Dumbbells,Male,,,,,strength
3685,Dumbbell Chest Supported Lateral Raises,Strength,Shoulders,Dumbbells,Male,Deltoid Posterior ,"Deltoid Lateral, Serratus Anterior, Trapezius Middle Fibers",,,strength
3686,Dumbbell Kneeling Hold to Stand,Strength,"Hips, Shoulders, Thighs",Dumbbells,Male,"Deltoid Anterior, Gluteus Maximus, Quadriceps","Adductor Magnus, Deltoid Lateral, Serratus Anterior, Soleus, Triceps Brachii",,,strength
3687,Dumbbell Drag Bicep Curl,Strength,"Shoulders, Upper Arms",Dumbbells,Male,"Biceps Brachii, Deltoid Anterior","Brachialis, Brachioradialis",,,strength
3695,Dumbbell Alternate Bench Press (high start),Strength,Chest,Dumbbells/Flat Bench,Male,"Pectoralis Major Clavicular Head, Pectoralis Major Sternal Head","Deltoid Posterior, Triceps Brachii",,,strength
3697,Cable Kneeling Rear Delt Row (with rope),Strength,Shoulders,Cable,Male,,,,,strength
3699,Shoulder Tap,Strength,"Chest, Waist",Body weight,Male,"Obliques, Pectoralis Major Clavicular Head, Pectoralis Major Sternal Head, Rectus Abdominis","Biceps Brachii, Brachialis, Brachioradialis, Deltoid Anterior, Triceps Brachii",,,strength
3700,Tuck Jump,Aerobic,Plyometrics,Body weight,Male,,,,,strength
3701,High Knee Sprints,Aerobic,Cardio,Body weight,Male,,,,,cardio
3702,Forward Pulse Lunge with Hands Overhead,Strength,"Hips, Thighs",Body weight,Male,,,,,strength
3703,Frogger,Strength,Waist,Body weight,Male,,,,,strength
3704,Double Jump Squat,Aerobic,Plyometrics,Body weight,Male,,,,,strength
3705,Squat Thrust,Strength,Plyometrics,Body weight,Male,,,,,strength
3706,Squat Tuck Jump,Aerobic,Plyometrics,Body weight,Male,,,,,strength
3707,Dumbbell Press Squat,Strength,"Chest, Hips, Thighs",Dumbbells,Male,"Gluteus Maximus, Pectoralis Major Clavicular Head, Pectoralis Major Sternal Head, Quadriceps","Adductor Magnus, Deltoid Anterior, Deltoid Lateral, Soleus, Triceps Brachii",,,strength
3708,Cardio Lunge,Aerobic,Plyometrics,Body weight,Male,,,,,strength
3709,Dumbbell Overhead Squat,Strength,Thighs,Dumbbells,Male,,,,,strength
3713,Dumbbell Standing Single Leg Calf Raise,Strength,Calves,Dumbbells,Male,,,,,strength
3714,Single Leg Stand,Stretching,Plyometrics,Body weight,Male,,,,,mobility
3715,Single Leg Stand on Bosu Ball,Stretching,Plyometrics,BOSU Balance Trainer,Male,,,,,strength
3719,Cable Standing High Cross Triceps Extension,Strength,Upper Arms,Cable,Male,Triceps Brachii,,,,strength
3720,Stair Jump,Aerobic,Plyometrics,Body weight,Male,,,,,strength
3721,Barbell Bent Over Wide Grip Row,Strength,Back,Barbells,Male,"Infraspinatus, Latissimus Dorsi, Teres Major, Teres Minor , Trapezius Lower Fibers, Trapezius Middle Fibers","Brachialis, Brachioradialis, Deltoid Posterior",,,strength
3722,Barbell Incline Lying Rear Delt Raise,Strength,Shoulders,Barbells,Male,Deltoid Anterior,"Brachialis, Brachioradialis, Deltoid Lateral, Deltoid Posterior, Pectoralis Major Clavicular Head",,,strength
3723,Barbell Curtsey Lunge,Strength,"Hips, Thighs",Barbells,Male,"Gluteus Maximus, Gluteus Medius, Quadriceps","Adductor Brevis, Adductor Longus, Adductor Magnus, Gastrocnemius, Gracilis, Hamstrings, Pectineous, Sartorius, Soleus",,,strength
3724,Barbell Floor Chest Press,Strength,Chest,Barbells,Male,"Pectoralis Major Clavicular Head, Pectoralis Major Sternal Head","Deltoid Anterior, Triceps Brachii",,,strength
3725,Barbell Overhead Lunge,Strength,Thighs,Barbells,Male,,,,,strength
3726,Barbell Seated Front Raise,Strength,Shoulders,Barbells,Male,Deltoid Anterior,"Deltoid Lateral, Pectoralis Major Clavicular Head, Serratus Anterior",,,strength
3727,Barbell Front Bench Squat,Strength,Thighs,Barbells,Male,,,,,strength
3729,Barbell Chest Press on Stability Ball,Strength,Chest,Barbells,Male,,,,,strength
3730,Barbell Behind The Back Shrug,Strength,Back,Barbells,Male,Trapezius Upper Fibers ,Levator Scapulae,,,strength
3731,Barbell Sumo Romanian Deadlift,Strength,Hips,Barbells,Male,"Erector Spinae, Gluteus Maximus","Adductor Magnus, Hamstrings, Quadriceps, Soleus",,,strength
3733,Kettlebell Straight leg Deadlift,Strength,Hips,Kettlebells,Male,,,,,strength
3734,Kettlebell Kickstand One Leg Deadlift,Strength,Hips,Kettlebells,Male,,,,,strength
3735,Kettlebell Pullover 3 Month Position,Strength,Back,Kettlebells,Male,,,,,strength
3736,Kettlebell Standing Bottoms-up One Arm Shoulder Press,Strength,Shoulders,Kettlebells,Male,,,,,strength
3737,Kettlebell Seated One Arm Military Press,Strength,Shoulders,Kettlebells,Male,,,,,strength
3740,Kettlebell Lateral Raise,Strength,Shoulders,Kettlebells,Male,,,,,strength
3741,Lateral Raise with Towel,Strength,Shoulders,Body weight,Male,,,,,strength
3751,Reverse Push-up,Strength,Upper Arms,Body weight,Male,,,,,strength
3752,Lying Double Legs Biceps Curl with Towel,Strength,Upper Arms,Body weight,Male,,,,,strength
3757,Band high fly,Strength,Chest,Resistance Bands,Male,,,,,strength
3765,Jump Step-Up,Aerobic,Cardio,Body weight,Male,,,,,cardio
3769,Curtsey Squat,Strength,Thighs,Body weight,Male,,,,,strength
3773,Band Single Stiff Leg Deadlift with Single Arm Row,Strength,Hips,Resistance Bands,Male,,,,,strength
3780,Band Standing Chest Press,Strength,Chest,Resistance Bands,Male,Pectoralis Major Sternal Head,"Deltoid Anterior, Pectoralis Major Clavicular Head, Triceps Brachii",,,strength
3785,Incline Push-Up (on box),Strength,Chest,Body weight,Male,,,,,strength
3799,Dumbbell Bent Over Reverse Row,Strength,Back,Dumbbells,Male,"Infraspinatus, Latissimus Dorsi, Teres Major, Teres Minor , Trapezius Lower Fibers, Trapezius Middle Fibers","Brachialis, Brachioradialis, Deltoid Posterior",,,strength
3812,Elevanted Push-Up,Strength,Chest,Body weight,Male,,,,,strength
3813,Starfish Crunch (beginner),Strength,Waist,Body weight,Male,,,,,strength
3814,Front Plank Toe Tap,Strength,Waist,Body weight,Male,,,,,strength
3821,Crunch (arms straight),Strength,Waist,Body weight,Male,,,,,strength
3822,Pulse Row,Strength,Back,Body weight,Male,,,,,strength
