ID,Name,Exercise type,BodyPart,Equipment,Gender,Target,Synergist,Type,Regions,category
4437,Alternating Hamstring Curl with Punche,Aerobic,Plyometrics,Body weight,Male,,,,,strength
4438,Jack Step (male),Aerobic,Plyometrics,Body weight,Male,,,,,strength
4440,Kettlebell Step-up (VERSION 2),Strength,Thighs,Kettlebell,Male,,,,,strength
4442,Assisted Bulgarian Split Squat,Strength,Thighs,Body weight,Male,,,,,strength
4443,Dumbbell Assisted Bulgarian Split Squat,Strength,Thighs,Dumbbell,Male,,,,,strength
4446,Kettlebell Half Kneeling One Arm Bottoms-up Press,Strength,Shoulders,Kettlebell,Male,,,,,strength
4450,Suspender Wide Grip Inverted Row,Strength,Back,Suspension,Male,,,,,strength
4456,Glute Ham Raise (VERSION 2),Strength,Hips,Body weight,Male,,,,,strength
4457,Dumbbell Side Bridge with Bent Leg (male),Strength,Waist,Dumbbell,Male,,,,,strength
4459,Lying Ab Press (male),Strength,Waist,Body weight,Male,,,,,strength
4462,Roll Ball Foot,Stretching,Calves,Rollball,Male,,,,,strength
4465,Roll Ball Calf Stretch,Stretching,Calves,Rollball,Male,,,,,mobility
4467,Roll Ball Tibialis Posterior,Stretching,Calves,Rollball,Male,,,,,strength
4468,Roll Ball Rectus Femoris Stretch,Stretching,Thighs,Rollball,Male,,,,,mobility
4469,Roll Ball Lateral Vastus,Stretching,Thighs,Rollball,Male,,,,,mobility
4470,Roll Ball Adductors,Stretching,Hips,Rollball,Male,,,,,mobility
4471,Roll Ball Tensor Fasciae Latae,Stretching,Hips,Stability ball,Male,,,,,strength
4472,Roll Ball Gluteus Medius,Stretching,Hips,Rollball,Male,,,,,strength
4473,Roll Ball Piriformis,Stretching,Hips,Rollball,Male,,,,,strength
4475,Roll Ball Iliospsoas,Stretching,Hips,Stability ball,Male,,,,,strength
4477,Roll Ball Iliacus   Abdominal Region,Stretching,Hips,Rollball,Male,,,,,strength
4480,Roll Ball Erector Spinae,Stretching,Hips,Rollball,Male,,,,,strength
4483,Roll Ball Pectoralis Major - Sternal,Stretching,Chest,Rollball,Male,,,,,mobility
4484,Roll Ball Pectoralis Major - Clavicular,Stretching,Chest,Rollball,Male,,,,,mobility
4485,Roll Ball Infraspinatus Stretch,Stretching,Back,Rollball,Male,,,,,mobility
4487,Roll Ball Scapula Levator,Stretching,Back,Rollball,Male,,,,,strength
4490,Roll Ball Trapezius Upper Stretch,Stretching,Back,Rollball,Male,,,,,mobility
4496,Roll Ball Forearm Extensors,Stretching,Forearms,Rollball,Male,,,,,strength
4498,Roll Ball Bicep Brachii,Stretching,Upper Arms,Rollball,Male,,,,,mobility
4499,Bodyweight Full Squat with Overhead Press,Aerobic,Plyometrics,Body weight,Male,,,,,strength
4500,Bodyweight Front Plank to Downward Dog,Aerobic,Plyometrics,Body weight,Male,,,,,cardio
4501,Bodyweight Knee To Hand Tap,Aerobic,Plyometrics,Body weight,Male,,,,,strength
4502,Bodyweight Squat to Side Leg,Aerobic,Plyometrics,Body weight,Male,,,,,strength
4503,Bodyweight Squat to Front Leg,Aerobic,Plyometrics,Body weight,Male,,,,,strength
4504,Bodyweight Knee Thrust,Aerobic,Plyometrics,Body weight,Male,,,,,strength
4505,Punch Twist,Aerobic,Plyometrics,Body weight,Male,,,,,strength
4506,Kneeling Shoulder Tap,Strength,Chest,Body weight,Male,"Pectoralis Major Clavicular Head, Pectoralis Major Sternal Head","Biceps Brachii, Brachialis, Brachioradialis, Deltoid Anterior",,,strength
4507,Bodyweight Squat to Side to Front Leg,Aerobic,Plyometrics,Body weight,Male,,,,,strength
4509,Chin-to-chest Stretch,Stretching,Waist,Body weight,Male,Rectus Abdominis,,,,mobility
